model,regularization,lambda,rmse,activation_fn
"[11, 10, 20, 1]",None,0,27.49381043084924,7.428475978541457,relu
"[11, 10, 20, 1]",L1,0.01,1.4025484566282e+20,7.436015310436012,relu
"[11, 10, 20, 1]",L2,0.01,nan,nan,relu
"[11, 10, 20, 1]",L1,0.1,1.7202534652526124e+51,101423365675.03627,relu
"[11, 10, 20, 1]",L2,0.1,21570817.293036286,7.431160869965119,relu
"[11, 10, 20, 1]",L1,0.5,nan,nan,relu
"[11, 10, 20, 1]",L2,0.5,2.3231374623535074e+23,7.431151474128208,relu
"[11, 50, 30, 1]",None,0,nan,nan,relu
"[11, 50, 30, 1]",L1,0.01,5.647498328303879e+25,7.429909241407588,relu
"[11, 50, 30, 1]",L2,0.01,9.48889409038795e+55,7.431274372243957,relu
"[11, 50, 30, 1]",L1,0.1,1520853.5618975547,7.437217069390401,relu
"[11, 50, 30, 1]",L2,0.1,332240520357881.94,7.437671803677219,relu
"[11, 50, 30, 1]",L1,0.5,nan,nan,relu
"[11, 50, 30, 1]",L2,0.5,nan,nan,relu
"[11, 10, 20, 1]",None,0,27.47933853851203,7.42932950620424,relu
"[11, 10, 20, 1]",L1,0.01,5.151125055376073e+30,7.430442905151992,relu
"[11, 10, 20, 1]",L2,0.01,2.783820228649921e+67,7.4368075054362395,relu
"[11, 10, 20, 1]",L1,0.1,6.125564740116034e+31,7.43512241326841,relu
"[11, 10, 20, 1]",L2,0.1,1.2664778865400508e+68,7.433714536954343,relu
"[11, 10, 20, 1]",L1,0.5,nan,nan,relu
"[11, 10, 20, 1]",L2,0.5,1.3370621265539434e+97,7.428396623703639,relu
"[11, 50, 30, 1]",None,0,27.465438493629218,7.439999914847172,relu
"[11, 50, 30, 1]",L1,0.01,27.470378354252492,7.423639165702664,relu
"[11, 50, 30, 1]",L2,0.01,447344186985203.7,7.434395180470059,relu
"[11, 50, 30, 1]",L1,0.1,1.435606153416274e+182,2.0921104275383985e+35,relu
"[11, 50, 30, 1]",L2,0.1,9.1525217331946e+85,7.439999421417515,relu
"[11, 50, 30, 1]",L1,0.5,12256.784324183911,7.446876492299206,relu
"[11, 50, 30, 1]",L2,0.5,3.9403015001083666e+26,7.438297226820232,relu
