model,regularization,lambda,error,rmse,activation_fn
"[11, 10, 20, 1]",None,0,0.014450917084990158,0.24728556143591957,tanh
"[11, 10, 20, 1]",L1,0.01,0.046331634381155284,0.22966955447345216,tanh
"[11, 10, 20, 1]",L2,0.01,0.03558177749666771,0.23545949491394613,tanh
"[11, 10, 20, 1]",L1,0.1,0.05907982888922542,0.24035273357726827,tanh
"[11, 10, 20, 1]",L2,0.1,0.07776359622236495,0.32845931571149833,tanh
"[11, 10, 20, 1]",L1,0.5,0.23196277401843615,0.5961186282041814,tanh
"[11, 10, 20, 1]",L2,0.5,0.46308481528617207,0.8958727528251041,tanh
"[11, 50, 30, 1]",None,0,0.026764220989082762,0.20855217565557269,tanh
"[11, 50, 30, 1]",L1,0.01,0.09398376951513802,0.4052082709244698,tanh
"[11, 50, 30, 1]",L2,0.01,0.02659419234329286,0.20404118147091135,tanh
"[11, 50, 30, 1]",L1,0.1,0.048534126522807725,0.22976452126880026,tanh
"[11, 50, 30, 1]",L2,0.1,0.06978062331367696,0.3086126027570998,tanh
"[11, 50, 30, 1]",L1,0.5,0.4491008120209331,0.8845571351272395,tanh
"[11, 50, 30, 1]",L2,0.5,0.12310687366829494,0.32545766240168317,tanh
"[11, 10, 20, 1]",None,0,0.015837652226298626,0.15327764341704342,tanh
"[11, 10, 20, 1]",L1,0.01,0.0696359674130206,0.40221516762366666,tanh
"[11, 10, 20, 1]",L2,0.01,0.4148119181194244,0.8635423379266314,tanh
"[11, 10, 20, 1]",L1,0.1,0.0520756407156257,0.25775526002243987,tanh
"[11, 10, 20, 1]",L2,0.1,0.11214166698925677,0.43550045271504334,tanh
"[11, 10, 20, 1]",L1,0.5,0.1385038785155778,0.42873673682639835,tanh
"[11, 10, 20, 1]",L2,0.5,0.15578965794364416,0.40707081299140313,tanh
"[11, 50, 30, 1]",None,0,0.03270148666240322,0.29639436355726567,tanh
"[11, 50, 30, 1]",L1,0.01,0.04200657598926797,0.27518211090008887,tanh
"[11, 50, 30, 1]",L2,0.01,0.026425757627032122,0.19067362396965598,tanh
"[11, 50, 30, 1]",L1,0.1,0.09181951997121948,0.38049232280880535,tanh
"[11, 50, 30, 1]",L2,0.1,0.04314185764568299,0.2316342977678105,tanh
"[11, 50, 30, 1]",L1,0.5,0.15499888013321392,0.4611245036740121,tanh
"[11, 50, 30, 1]",L2,0.5,0.18190147635291623,0.4992561091671077,tanh
