model,regularization,lambda,error,rmse,activation_fn,epochs,minibatch_size
"[18, 64, 1]",None,0,39290.223573542775,267.0640829072479,relu,70,32
"[18, 128, 1]",None,0,35771.75268749643,260.37938587179326,relu,70,32
"[18, 64, 32, 1]",None,0,27654.460496073974,247.99082008576988,relu,70,32
"[18, 128, 32, 1]",None,0,27305.47663960882,248.5557429725508,relu,70,32
"[18, 128, 64, 1]",None,0,29321.80089687129,249.48376446638903,relu,70,32
"[18, 128, 64, 32, 1]",None,0,30398.456705707576,263.12265324053436,relu,70,32
"[18, 128, 64, 32, 1]",L1,0.001,38470.334727273956,283.8481356453462,relu,70,32
"[18, 128, 64, 32, 1]",L2,0.001,46489.93183101764,313.6673838502956,relu,70,32
"[18, 128, 64, 32, 1]",L1,0.1,34803.19770769808,272.125392463007,relu,70,32
"[18, 128, 64, 32, 1]",L2,0.1,30549.866885750627,252.65614053464927,relu,70,32
"[18, 64, 1]",None,0,28755.53753757863,257.2282411514358,tanh,70,32
"[18, 128, 1]",None,0,23618.592871174103,240.83917688333776,tanh,70,32
"[18, 64, 32, 1]",None,0,33105.88042788671,280.6203722369222,tanh,70,32
"[18, 128, 32, 1]",None,0,35376.95925711282,286.1334500361265,tanh,70,32
"[18, 128, 64, 1]",None,0,34848.4375161941,282.2494733874637,tanh,70,32
"[18, 128, 64, 32, 1]",None,0,41636.721327366286,299.0670269629796,tanh,70,32
"[18, 128, 64, 32, 1]",L1,0.001,44666.873315354846,304.8787474782957,tanh,70,32
"[18, 128, 64, 32, 1]",L2,0.001,40959.7175531417,293.3659497360389,tanh,70,32
"[18, 128, 64, 32, 1]",L1,0.1,47029.091757464295,313.61083245048786,tanh,70,32
"[18, 128, 64, 32, 1]",L2,0.1,44867.40714075282,311.3482803598404,tanh,70,32
